type,caption,alt_text,src,href
Audio,"Pokoe van Manu - 
'we zijn niet vrij van de slavendrijvers' deze tune geeft context aan de kennis dat het systeem van Nederland tegen de grenzen van zijn groei aanloopt",Manu - Vloek op de overvloed,MANU - VLOEK OP DE OVERVLOED.png,https://www.youtube.com/watch?v=T5MtMZcKh0I
Artikel,"De Nederlandse economie kan niet 
eindeloos blijven groeien. Na jaren zoekt het kabinet nieuwe manieren om schaarste te verdelen","Nederland loopt tegen 
de grenzen van zijn groei aan. Het wordt tijd dat de politiek ingrijpt.",VOLKSKRANT - NEDERLAND LOOPT.PNG,https://www.volkskrant.nl/columns-opinie/nederland-loopt-tegen-de-grenzen-van-zijn-groei-aan-het-is-tijd-dat-de-politiek-durft-in-te-grijpen~ba1440f7/?referrer=https%3A%2F%2Fmediamixtape.netlify.app%2F
Video,"R.Heinberg examineert 
de financiele crisis. In dit segment praat hij over weerstand en hoe dat op lokaal niveau georganiseerd kan worden of al georganiseerd wordt",Richard Heinberg - the End of Growth,Richard Heinberg - the End of Growth.png,https://www.youtube.com/watch?v=kPgohNERJBI&t=1553s
Video,"R.Heinberg stelt voor 
dat we nadenken over wat belangrijk is om te meten. Denk aan een gevoel van blijdschap. Hoe zou het leven eruit zien met andere of misschien wel minder middelen om te consumeren?",Richard Heinberg - the Bright side,Richard Heinberg - the Bright side.png,https://www.youtube.com/watch?v=kPgohNERJBI&t=2029s
VIDEO,TEGENLICHT,POSTBODE AHMED - DE OVERHEID IS DE GROOTSTE SCHULDEISER,POSTBODE AHMED.png,https://www.youtube.com/watch?v=vVmj2l5CdkY
VIDEO,TUSSENRUIMTE INTERVIEW,FRANCIEN - FRAMING,FRANCIEN - FRAMING.png,https://youtu.be/u-nMj2pTk_c
AUDIO,,BUSTA RHYMES - WHEN DISASTER STRIKES,BUSTA RHYMES - WHEN DISASTER STRIKES.webp,https://open.spotify.com/track/3Rsjz1liUgryo14GGJwevZ?si=89bfb8e86b654cd4
AUDIO,,Dead prez - Hiphop,deadprez-hiphop.jpeg,https://www.youtube.com/watch?v=oiusDE0KND8&ab_channel=deadprezVEVO
