type,caption,alt_text,src,href
Video,NOTES - voordelen van de Toolkit,Roberto vertelt over hoe de toolkit Notes heeft geholpen om te opereren in het landschap,NOTES - voordelen van de Toolkit.png,https://www.youtube.com/watch?v=FI84-0J9vm4
AUDIO,MANSUR BROWN - PATH,,MANSUR BROWN - PATH.jpg,https://open.spotify.com/track/1BnZ5UJAUNJ4RIWN13b2WL?si=f000e8b9fc45452a
AUDIO,GRANT GREEN - MAYBE TOMORROW,,GRANT GREEN - MAYBE TOMORROW.jpeg,https://open.spotify.com/track/0EdYLCHThvtSmze7iEqlEN?si=70707325201c4033
AUDIO,MOS DEF - LOVE,,MOS DEF - LOVE.jpg,https://open.spotify.com/track/1L6YNFDSQa8UjX7vzPXXD4?si=2f37c1e95a81453a
VIDEO (found footage),Vimto Ad “Gonna Get you in the end”,"
‘Check what you’re drinking, 

“Is it a cola, is a fruit drink? No, it is a secret.’

",Vimto Ad “Gonna Get you in the end”.png,https://www.youtube.com/watch?v=LYw44kfu9Qk
AUDIO,UNIQ - STRAATKENNIS,,UNIQ - STRAATKENNIS.jpg,https://www.youtube.com/watch?v=YR8lCJiE2zM&ab_channel=TopNotch
AUDIO,UNIQ - MEDESTANDER,,UNIQ - MEDESTANDER.jpeg,https://www.youtube.com/watch?v=WEBBDRiyTIU&ab_channel=TopNotch
