type,caption,alt_text,src,href
Video,Shay - Participatie is niet nieuw,co-creatie en participatie is al embedded in veel organisaties….,Shay - Participatie is niet nieuw.png,https://www.youtube.com/watch?v=vOLuTIYZPBI
Video,Nacor - ik spreek geen systeem,over hoe taal er voor zorgt hoe er wordt gekeken naar de kwaliteit van een persoon,Nacor - ik spreek geen systeem.png,https://www.youtube.com/watch?v=-XrZ3e5akb8
Video ,Zico - rol van prof,Voor Zico is er geen verschil meer tussen het zijn van een professional of non professional,Zico - rol van prof.png,https://www.youtube.com/watch?v=QFXt85kTxbg
Video,Eindje Nul Filter en Malique,Initiatieven zijn vaak een afterthought. Ze zijn bekend binnen de community maar worden (te) laat betrokken. Malique reageert; ruimte afdwingen om geen afterthought meer te zijn. ,Eindje Nul Filter en Malique.png,https://www.youtube.com/watch?v=y9wUVI5ylYE
Video,Killer Mike - Fortune Live,Een panelgesprek waarin Killer Mike praat met andere zakenmensen over public private partnerships. Deze clip is inhoudelijk intressant en handig om een balans te brengen in de marxistische vibes die de rest van de content kan hebben.,Killer Mike - Fortune Live.png,https://www.youtube.com/results?search_query=killer+mike+politics+
