type,caption,alt_text,src,href
Audio,Nacor over voorwaardes,De voorwaardes voor samenwerkingen volgens Nacor. Vertrouwen wordt benoemd onder andere.,Nacor over voorwaardes.png,https://www.youtube.com/watch?v=g1NfpeHAgo0
Audio,francien over samenwerken,vertelt dat luisteren naar de geleefde ervaring een belangrijk element is. ,francien over samenwerken.png,https://www.youtube.com/watch?v=ke7LRk85sSs
Audio,Serife - Afstappen van het idee om te moeten leveren,Als ambtenaar moet het mogelijk zijn om het soms niet te weten. ,Serife - Afstappen van het idee om te moeten leveren.png,https://www.youtube.com/watch?v=FEzPutFBr_c
Audio,Rosie Yout Dem,Vertel over de werkwijze die is gehanteerd bij het Yout Dem project en waarom dat effectief was. ,Rosie Yout Dem.png,https://www.youtube.com/watch?v=AjjmlpQyMW0
Video,Rosie 3 onderdelen,Rosie vertelt over de drie segmenten van het project en welke effecten deze hadden op de deelnemers,Rosie 3 onderdelen.png,https://www.youtube.com/watch?v=Z3BUtlPLmIg
Video,Malique - Modellen en theories,Malique legt de modellen uit in deze video,Malique - Modellen en theories.png,https://www.youtube.com/watch?v=fwulhcOAie4
Video,Janina - Ruimte voor experiment,Janina vertelt het belang van experiment tijdens werkprocessen,Janina - Ruimte voor experiment.png,https://www.youtube.com/watch?v=TwMe1Z_aRNs
