type,caption,alt_text,src,href
VIDEO ,FRANCIEN - VERANDERING,TUSSENRUIMTE INTERVIEW,FRANCIEN - VERANDERING.png,https://youtu.be/mC1v9vjT1vI
VIDEO ,TONY - STA JE OPEN VOOR HET PROCES?,TUSSENRUIMTE INTERVIEW,TONY - STA JE OPEN VOOR HET PROCES?.png,https://youtu.be/tSBqKjjg6XY
VIDEO ,NACOR - GEVESTIGDE STRUCTUREN,TUSSENRUIMTE INTERVIEW,NACOR - GEVESTIGDE STRUCTUREN.png,https://youtu.be/QzO1s-z1My0
VIDEO ,TONY - HET METEN VAN INCLUSIE EN DIVERSITEIT,TUSSENRUIMTE INTERVIEW,TONY - HET METEN VAN INCLUSIE EN DIVERSITEIT.png,https://youtu.be/ltHvfDhGVgM
